948090,4,20,1997,68,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
304610,2,13,1975,15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
627710,5,12,2009,86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
725360,5,13,1992,66,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
443140,7,18,1997,81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
163120,6,4,1989,66,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
474300,10,11,2006,61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
152920,7,27,2005,78,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
719640,5,28,1965,56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
233450,4,9,1976,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
489400,8,14,1994,83,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
477700,9,3,1991,81,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
72490,9,7,1995,62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
724110,9,30,1978,59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
71490,1,2,1984,46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
75030,6,23,2007,65,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
62350,7,4,1977,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
471920,11,18,1976,37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
166270,11,23,2005,41,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
546240,3,17,1975,58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39240,3,13,1996,37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
155010,10,30,1983,49,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
717150,2,20,1994,44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
171290,11,12,2007,45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
576710,3,7,1982,42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
561670,6,2,1982,61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
154770,11,8,1988,43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
478140,3,9,1953,45,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
267630,9,18,1975,61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
591330,12,15,1979,60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
723898,4,9,1999,44,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
362080,4,13,1994,41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
949750,8,22,1992,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
961710,6,5,1989,82,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
939470,5,4,2006,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
999999,1,10,1960,47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
742006,1,19,1995,46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
722506,7,7,1994,88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
680040,11,26,2008,73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
489425,1,18,1973,65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
700300,12,2,1973,-10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
577070,11,27,1997,46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
